année;caractère moyen (rapport entre largeur x longueur de la molette / nombre de motifs horizontaux x nombre de motifs verticaux;commentaire;DESSIN n° rempli lorsque le décor à la molette est associé à une forme de vase dessiné;dévellopé;égal type;équi type;Fait;INDIVIDU;largeur;longueur;LOT;molette référence;N° enregistrement;N° isolation 1;N° PERIODE;N° PHASE;N° SEQUENCE;nbre motifs h;nbre motifs v;nom du décor;non. Molette non dessiné (encrage);oui. Molette dessiné (encrage);position décor;site;Tombe;TYPE DE DÉCOR;US;Zone
1997 ;0,82 ;;;Incomplet;;B3;218;INDIVIDU;>0,7;>3,5;;non ;1572;2084-4;7.1;235;189;>3;1;oves;;oui;panse (?);45 234 093;;molette;2084;2
1997 ;1,10 ;;;Incomplet;BIND;;218;INDIVIDU;1,1;>2;;non ;1573;2084-5;7.1;235;189;>2;1;oves;;oui;panse;45 234 093;;molette;2084;2
1997 ;0,32 ;;;Incomplet;LIND;;218;INDIVIDU;0,7;>2,3;;non ;1574;2084-6;7.1;235;189;>5;1;chevrons;;oui;panse;45 234 093;;molette;2084;2
1997 ;;;;incomplet;;;222;INDIVIDU;;;;;1584;;8;246;166;;;losanges;non;;lèvre;45 234 093;;molette;2088;2
1997 ;1,20 ;;;Incomplet;;;222;INDIVIDU;1,00;>3,6;;;1588;;8;246;166;>3;1;oves;non;;épaule;45 234 093;;molette;2220;2
1997 ;0,05 ;;;Complet;H15;;319;INDIVIDU;0,9;3,20;;oui;1604;3062-1;7.1;329;680;19;3;carrés;;oui;épaule;45 234 093;;molette;3062;3
1997 ;0,11 ;>=> 4002-4;;Incomplet;;C7;319;INDIVIDU;0,95;>3,6;;non ;1605;3062-4;7.1;329;680;>15;2;batons;;oui;épaule;45 234 093;;molette;3062;3
1997 ;0,09 ;;;Incomplet;AIND;;319;INDIVIDU;0,7;>2,6;;non ;1606;3062-3;7.1;329;680;>7;3;losanges;;oui;épaule;45 234 093;;molette;3062;3
1997 ;0,03 ;4 registres. Possibilité de restituer le développé au moment du dessin;;Incomplet;A20;;319;INDIVIDU;0,9;>3,4;;oui;1608;3062-2;7.1;329;680;>12;8;losanges;;oui;panse;45 234 093;;molette;3062;3
1997 ;?;;;Incomplet;;;305;INDIVIDU;?;>4;;;1626;;7.2;332;672;>3;1 ou 2;V;non;;panse;45 234 093;;molette;3050;3
1997 ;0,13 ;;;Complet;G27;;305;INDIVIDU;0,7;5,7;;oui;1627;3050-1;7.2;332;672;15;2;carrés;;oui;épaule;45 234 093;;molette;3050;3
1997 ;0,20 ;deux régistres l’un au dessous de l’autre. possibiliter de restituer le dévellopé au moment du dessin;;Complet;CIND;;305;INDIVIDU;0,6;>5;;non ;1628;3050-2;7.2;332;672;>15;1;batons;;oui;épaule;45 234 093;;molette;3050;3
1997 ;0,33 ;>=>LIND 202-106;;Incomplet;L9;;620;INDIVIDU;0,9;>4,4;;oui;1803;6114-1;7.1;616;550;>12;1;chevrons;;oui;épaule;45 234 093;;molette;6114;6
1997 ;0,39 ;;;Incomplet;LIND;;620;INDIVIDU;1,35;>2,6;;non ;1804;6114-2;7.1;616;550;>9;1;chevrons;;oui;épaule;45 234 093;;molette;6114;6
1997 ;0,27 ;;;Incomplet;;;620;INDIVIDU;>1;>2,4;;;1805;6114-3;7.1;616;550;>9;1;chevrons;;oui;épaule;45 234 093;;molette;6114;6
1997 ;0,17 ;;;Incomplet;;;625;INDIVIDU;1,3;>4,2;;;1820;;9.2;630;509;8;4;losanges;non;;épaule;45 234 093;;molette;6142;6
1997 ;0,36 ;;;Incomplet;;;616;INDIVIDU;>0,8;>4,1;;;1862;;10.1;638;483;>9;1;carrés ondés;non;;panse;45 234 093;;molette;6092;6
1997 ;1,00 ;;;Incomplet;;;622;INDIVIDU;1,00;>2,00;;;1898;;8;627;519;>2;1;V;non;;inconnu;45 234 093;;molette;6120;6
1997 ;0,29 ;;;Incomplet;;;620;INDIVIDU;1,00;>2,00;;;1917;;7.1;616;550;>7;1;chevrons;non;;inconnu;45 234 093;;molette;6114;6
1997 ;0,07 ;;;Incomplet;;;634;INDIVIDU;0,7;>3,6;;;1927;;8;623;534;>19;2;batons;non;;épaule;45 234 093;;molette;6214;6
1997 ;0,06 ;;;Incomplet;;;618;INDIVIDU;0,7;>3,1;;;1961;;9.1;628;515;>12;3;losanges;non;;épaule;45 234 093;;molette;6089;6
1997 ;0,06 ;;;Incomplet;;;623;INDIVIDU;1,2;>3,1;;;1992;;9.2;631;511;>10;6;losanges;non;;épaule;45 234 093;;molette;6133;6
1997 ;0,10 ;;;Complet;AIND;;153;INDIVIDU;0,7;4,2;;non ;2013;1103-1;8;147;39;10;3;losanges;;oui;épaule;45 234 093;;molette;1103;1
1997 ;0,05 ;= 1162-1;;Complet;A14;;157;INDIVIDU;0,75;3,8;;oui;2021;1010-3;7.1;141;51;12;5;losanges;;oui;épaule;45 234 093;;molette;1010;1
1997 ;0,08 ;;;Complet;A19;;157;INDIVIDU;0,8;4,7;;oui;2022;1010-2;7.1;141;51;12 (?);4;losanges;;oui;épaule ;45 234 093;;molette;1010;1
1997 ;0,03 ;;;Complet;A18;;157;INDIVIDU;0,7;2,7 (?);;oui;2023;1010-1;7.1;141;51;14 (?);5;losanges;;oui;épaule;45 234 093;;molette;1010;1
1997 ;0,08 ;;;Incomplet;;;157;INDIVIDU;1,00;>2,00;;;2024;1010-4;7.1;141;51;>4;6;losanges;;oui;épaule;45 234 093;;molette;1010;1
1997 ;0,04 ;;;Incomplet;;;157;INDIVIDU;0,4;>2,15;;;2025;1010-5;7.1;141;51;>12;>=2;losanges;;oui;épaule;45 234 093;;molette;1010;1
1997 ;0,08 ;;;Complet;;;157;INDIVIDU;0,5;0,9;;;2028;;10.2;151;20;3;2;poinçon;non;;épaule;45 234 093;;molette;1007;1
1997 ;0,26 ;;;Incomplet;GIND;;104;INDIVIDU;0,9;>4,00;;non ;2039;1092-1;7.1;137;59;>7;2;carrés;;oui;collerette et lèvre;45 234 093;;molette;1092;1
1997 ;0,10 ;;;Incomplet;GIND;;111;INDIVIDU;0,85;>1,2;;non ;2106;1135-2;7.1;139;55;>5;2;carrés;;oui;épaule;45 234 093;;molette;1135;1
1997 ;;;;incomplet;;;115;INDIVIDU;;;;;2130;1145-3;7.2;144;45;;;croix;;oui;panse et anse;45 234 093;;molette;1145;1
1997 ;0,05 ;= 1010-1;;Complet;A14;;116;INDIVIDU;0,8;3,6;;non ;2138;1162-1;7.1;140;53;11;5;losanges;;oui;épaule;45 234 093;;molette;1162;1
1997 ;0,05 ;;;Incomplet;;;116;INDIVIDU;>=0,7;>2,4;;;2139;1162-3;7.1;140;53;>9;4;losanges;;oui;épaule;45 234 093;;molette;1162;1
1997 ;0,05 ;;;Incomplet;;;116;INDIVIDU;0,9;>2,00;;;2144;1162-2;7.1;140;53;>7;5;losanges;;oui;épaule;45 234 093;;molette;1162;1
1997 ;0,24 ;;;Incomplet;;;530;INDIVIDU;1,5;>3,5;;;2170;;8;1364;3146;>11;2;chevrons;non;;épaule;45 234 093;;molette;5249;5
1997 ;0,09 ;;;Complet;AIND;;401;INDIVIDU;0,8;5,00;;non ;2201;4004-1;7.1;471;795;9;5;losanges;;oui;épaule;45 234 093;;molette;4004;4
1997 ;0,01 ;;;Complet;AIND;;402;INDIVIDU;0,9;4,2;;non ;2211;4002-1;7.2;473;780;11;4-6;losanges;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,18 ;décor proche de L1.;;Incomplet;LIND;;402;INDIVIDU;1,15;>3,1;;non ;2212;4002-2;7.2;473;780;>10;2;chevrons;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,10 ;;;Incomplet;IND;;402;INDIVIDU;1,35;>2,6;;non ;2213;4002-3;7.2;473;780;>9;4;carrés;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,13 ;;;Incomplet;CIND;;402;INDIVIDU;0,9;>3,1;;non ;2214;4002-4;7.2;473;780;>11;2;batons;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,09 ;2 registres;;Incomplet;C12;;402;INDIVIDU;0,85;>3,1;;non ;2215;4002-5;7.2;473;780;>15;2;batons;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,18 ;;;Incomplet;;;402;INDIVIDU;1,00;>2,9;;;2216;4002-6;7.2;473;780;>8;2;chevrons;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,12 ;;;Incomplet;LIND;;402;INDIVIDU;0,8;>1,5;;non ;2217;4002-7;7.2;473;780;>5;2;chevrons;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,06 ;;;Incomplet;AIND;;402;INDIVIDU;>=0,7;>2,7;;non ;2218;4002-8;7.2;473;780;>8;>4;losanges;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,14 ;;;Incomplet;LIND;;402;INDIVIDU;0,9;>1,5;;non ;2219;4002-9;7.2;473;780;>5;2;chevrons;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,12 ;;;Complet;C12;;402;INDIVIDU;1,00;4,2;;oui;2221;4002-10;7.2;473;780;18;2;batons;;oui;épaule;45 234 093;;molette;4002;4
1997 ;0,08 ;;;Incomplet;AIND;;416;INDIVIDU;0,8;>=4,1;;non ;2243;4039-1;7.2;477;775;>=14;3;losanges;;oui;épaule;45 234 093;;molette;4039;4
1997 ;0,07 ;illisible. Plusieurs passages;;Incomplet;HIND;;416;INDIVIDU;0,95;>3,7;;non ;2244;4039-2;7.2;477;775;>=16;3;carrés;;oui;épaule;45 234 093;;molette;4039;4
1997 ;0,06 ;;;Incomplet;AIND;;416;INDIVIDU;0,9;>3,6;;non ;2245;4039-3;7.2;477;775;>11;5;losanges;;oui;épaule;45 234 093;;molette;4039;4
1997 ;;fragments de décors à la molette illisibles;;Incomplet;;;416;;;;LOT;;2246;;7.2;477;775;;;losanges;non;;épaule;45 234 093;;molette;4039;4
1997 ;0,05 ;>=> 3090-3 Isaac Jogues.;;Complet;;G24;402;INDIVIDU;0,6;3,9;;non ;2248;4002-11;7.2;473;780;23;2;carrés;;oui;épaule;45 234 093;;molette;4002;4
1997 ;?;deux registres;;Incomplet;;;406;INDIVIDU;?;>1,8;;;2263;;7.1;475;787;>5;2 ou 3;carrés;non;;panse;45 234 093;;molette;4023;4
1997 ;0,13 ;;;Complet;C11;;421;INDIVIDU;1,00;4,00;;oui;2286;4059-1;8;482;758;16;2;batons;;oui;épaule;45 234 093;;molette;4059;4
1997 ;0,16 ;;;Incomplet;;;223;INDIVIDU;0,8;>2,4;;;2317;;10.1;250;158;>6;2;carrés et triangles;non;;épaule;45 234 093;;molette;2217;2
1997 ;;"tesson trop fragmentaire
";;Incomplet;;;232;INDIVIDU;;;;;2351;2292-1;7.1;236;184;;;carrés et croix;;oui;panse;45 234 093;;molette;2292;2
1997 ;1,20 ;;;Incomplet;B2;;635;INDIVIDU;0,9;>4,00;;non ;2394;6221-1;7.1;619;540;>3;1;oves;;oui;lèvre;45 234 093;;molette;6221;6
1997 ;3,29 ;;;Incomplet;BIND;;906;INDIVIDU;1,4 ;>4,7;;non ;2468;9067-1;7.1;948;2403;>2;1;oves;;oui;panse;45 234 093;;molette;9067;9
1997 ;?;;;Incomplet;;;906;INDIVIDU;>=1,2;>3,3;;;2475;;7.1;948;2401;>8;?;losanges;non;;épaule;45 234 093;;molette;9051;9
1997 ;;"glaçure différente suivant les éléments rapportés.
";;;;;928;INDIVIDU;;;;;2526;9103-1;8;956;2466;;;;;oui;épaule;45 234 093;;bandes rapportées molettées;9103;9
1997 ;;;;;;;928;INDIVIDU;;;;;2527;9103-2;8;956;2466;;;;;oui;panse;45 234 093;;bandes rapportées molettées;9103;9
1997 ;;;;;;;928;INDIVIDU;;;;;2528;9103-3;8;956;2466;;;;;oui;panse;45 234 093;;appliques figuratives et bandes rapportées molettées;9103;9
1997 ;0,18 ;;;Incomplet;;;928;INDIVIDU;1,2;>4,2;;;2529;9103-4;8;956;2466;>14;2>;chevrons et carrés;;oui;épaule;45 234 093;;molette;9103;9
1997 ;0,16 ;;;Incomplet;;;928;INDIVIDU;1,2;>2,6;;;2530;9103-5;8;956;2466;>10;2;chevrons;;oui;épaule;45 234 093;;molette;9103;9
1997 ;0,10 ;;;Complet;AIND;;940;INDIVIDU;0,7;5,1;;non ;2565;9158-1;7.1;946;2464;12;>=3;losanges;;oui;épaule;45 234 093;;molette;9158;9
1997 ;?;plusieurs passages et déformation du vase qui ne permettent pas une lisibilité complète;;Complet (?);IND;;319;INDIVIDU;>=0,7;?;;non ;2568;3062-5;7.1;329;680;?;2 ou 3;carrés;;oui;épaule et lèvre;45 234 093;;molette;3062;3
1997 ;;;;;;;105;INDIVIDU;;;;;2595;1390-1;8;148;36;;;;;oui;panse et anse;45 234 093;;apport de matière, incision, molette;1390;1
1997 ;;;;;;;105;;;;LOT;;2597;;8;148;36;;;;non;;panse;45 234 093;;bandes rapportées molettées;1390;1
1997 ;2,00 ;;;Incomplet;BIND;;105;INDIVIDU;1,6;>5;;non ;2598;1390-3;8;148;36;>=4;1;oves;;oui;panse;45 234 093;;molette;1390;1
1997 ;0,04 ;;;Complet;A27;;235;INDIVIDU;0,7;4,1;;oui;2601;2316-1;7.1;241;176;17;4;losanges;;oui;épaule;45 234 093;;molette;2316;2
1997 ;?;décor illisible, lustrage après apposition du décor;;Incomplet;;;232;INDIVIDU;?;>3;;;2621;;7.1;236;184;?;?;carrés (?);non;;panse;45 234 093;;molette;2292;2
1997 ;0,23 ;deux registres;;Incomplet;;GI2;554;INDIVIDU;0,9;>4,1;;non ;2624;5237-1;7.1;1344;3206;>8;2;carrés et croix;;oui;épaule;45 234 093;;molette;5237;5
1997 ;0,09 ;;;Incomplet;CIND;;538;INDIVIDU;0,4;>=6,4;;non ;2640;5298-1;7.1;1358;3184;>=29;1;batons;;oui;colerette et épaule;45 234 093;;molette;5298;5
1997 ;0,43 ;;;Incomplet;;;550;INDIVIDU;>=0,8;>1,6;;;2653;;7.1;1352;3188;>3;1;chevrons;non;;épaule;45 234 093;;molette;5341;5
1997 ;?;;;Incomplet;IND;;550;INDIVIDU;?;>4,5;;non ;2660;5343-2;7.1;1352;3188;>15;5 (?);carrés;;oui;panse;45 234 093;;molette;5343;5
1997 ;0,60 ;;;Incomplet;E5;;545;INDIVIDU;1,00;>3,6;;oui;2662;5344-1;7.1;1349;3210;>6;1;V;;oui;épaule;45 234 093;;molette;5344;5
1997 ;0,10 ;;;Incomplet;;;961;INDIVIDU;0,8;>2;;;2723;;8;954;2541;>8;2;carrés;non;;épaule;45 234 093;;molette;9390;9
1997 ;0,27 ;;;Incomplet;LIND;;105;INDIVIDU;0,9;>=5,4;;non ;2788;1390-5;8;148;36;>=18;1;chevrons;;oui;épaule;45 234 093;;molette;1390;1
1997 ;0,05 ;Egal à un décor de Isaac Jogues (3090-17).;;Complet;G24;;319;INDIVIDU;0,5;4,9;;oui;2801;3062-6;7.1;329;680;25;2;carrés;;oui;épaule;45 234 093;;molette;3062;3
1997 ;0,00 ;;;Incomplet;;;336;INDIVIDU;inconnu;>2;;;2811;;7.1;330;688;>3;>3;losanges;non;;épaule;45 234 093;;molette;3102;3
1997 ;0,10 ;;;Incomplet;;;329;INDIVIDU;0,9;>2,3;;;2839;;8;337;674;>4;5;losanges;non;;épaule;45 234 093;;molette;3176;3
1997 ;0,18 ;;;Incomplet;;L11;339;INDIVIDU;0,75;>3,8;;non ;2849;3124-1;7.1;326;692;>16;1;chevrons;;oui;panse;45 234 093;;molette;3124;3
1997 ;;;;;;;329;INDIVIDU;;;;;2880;3245-1;8;337;676;;;;;oui;bande rapporté sur bec et panse;45 234 093;;bandes rapportées molettées;3245;3
1997 ;?;;;Incomplet;;;712;INDIVIDU;?;>1,5;;;2977;;8;761;843;>6;3;carrés;non;;panse (?);45 234 093;;molette;7063;7
1997 ;1,36 ;;;Incomplet;;;705;INDIVIDU;1,2;>3,4;;;3001;;7.1;740;918;>3;1;oves;non;;épaule;45 234 093;;molette;7024;7
1997 ;0,13 ;=7034-2 à l’envers;;Complet;;;706;INDIVIDU;1,4;4,7;;;3007;7034-1;8;757;877;10;5;losanges;;oui;épaule;45 234 093;;molette;7034;7
1997 ;0,11 ;=7034-1 à l’envers;;Incomplet;;;706;INDIVIDU;1,3;>2,5;;;3010;7034-2;8;757;877;>6;5;losanges;;oui;épaule;45 234 093;;molette;7034;7
1997 ;0,08 ;;;Incomplet;;;721;INDIVIDU;0,75;>2,9;;;3025;;8;754;845;>14;2;batons;non;;épaule;45 234 093;;molette;7176;7
1997 ;?;;;Incomplet;;;729;INDIVIDU;?;?;;;3033;;8;766;863;>6;1;losanges;non;;"panse
";45 234 093;;molette;7167;7
1997 ;?;;;Complet;CIND;;726;INDIVIDU;0,5;?; ;non ;3048;7151-1;7.1;744;914;?;1;batons;;oui;épaule;45 234 093;;molette;7151;7
1997 ;0,39 ;= 7152-1;;Complet;L11;;726;INDIVIDU;0,9;4,8;;non ;3052;7151-4;7.1;744;914;11;1;chevrons;;oui;"panse
";45 234 093;;molette;7151;7
1997 ;0,46 ;;;Incomplet;IND;;726;INDIVIDU;1,1;>4,2;;non ;3053;7151-5;7.1;744;914;>10;1;carrés ondés;;oui;panse;45 234 093;;molette;7151;7
1997 ;0,36 ;trois registres. = 7151-4;;Complet;L11;;726;INDIVIDU;0,9;4,8;;oui;3058;7152-1;7.1;744;914;12;1;chevrons;;oui;"panse

";45 234 093;;molette;7152;7
1997 ;0,23 ;Curieuse similitude avec FL3, en effet miroir. ;;Incomplet;FL5;;726;INDIVIDU;1,3;>4,5;;oui;3059;7152-2;7.1;744;914;>13;2 (?);chevrons et carrés;;oui;épaule;45 234 093;;molette;7152;7
1997 ;0,28 ;;;Incomplet;GIND;;726;INDIVIDU;0,9;>=5;;non ;3060;7152-3;7.1;744;914;>=8;2;carrés;;oui;épaule;45 234 093;;molette;7152;7
1997 ;0,10 ;;;Complet;C1;;727;INDIVIDU;0,9;4,40; ;non ;3071;7153-1;7.1;742;912;20;2;batons;;oui;panse;45 234 093;;molette;7153;7
1997 ;1,35 ;;;Incomplet;B14;;727;INDIVIDU;>1;>2,7;;oui;3073;7153-2;7.1;742;912;>2;1;oves;;oui;épaule;45 234 093;;molette;7153;7
1997 ;?;probablement deux passages l’un dans un sens l’autre dans l’autre de motifs batons et croix;;Incomplet;IND;;727;INDIVIDU;?  ;?;;non ;3079;7154-1;7.1;742;912;?;1;indéterminé;;oui;épaule;45 234 093;;molette;7154;7
1997 ;0,06 ;;;Incomplet;;;745;INDIVIDU;0,6;>3;;;3101;;7.2;756;906;>16;2;carrés;non;;épaule;45 234 093;;molette;7323;7
1997 ;2,28 ;Décor assez proche de B2 mais l mauvais état de l’empreinte de la molette empèche de noter toute similitude.;;Incomplet;BIND;;728;INDIVIDU;>1,3;>3,5;;non ;3106;7159-1;7.1;739;923;>2;1;oves;;oui;panse;45 234 093;;molette;7159;7
1997 ;0,07 ;;;Complet;AIND;;738;INDIVIDU;0,7;4,2;;non ;3185;7263-1;8;760;881;9;5;losanges;;oui;épaule ;45 234 093;;molette;7263;7
1997 ;0,29 ;;;Incomplet;;;738;INDIVIDU;0,9;>3,8;;;3187;7274-1;8;760;884;>12;1;chevrons;;oui;épaule;45 234 093;;molette;7274;7
1997 ;0,66 ;;;complet;IE1;;739;INDIVIDU;1,5;>=7;;oui;3208;7280-1;7.2;741;916;8;2;croix et V;;oui;panse;45 234 093;;molette;7280;7
1997 ;0,20 ;;;Incomplet;;;708;INDIVIDU;1,00;>3,2;;;3228;;8;758;875;>16;1;carrés ondés;non;;épaule;45 234 093;;molette;7030;7
1997 ;?;;;Incomplet;;;708;INDIVIDU;1,00;>3,4;;;3231;;8;758;875;?;?;losanges;non;;épaule;45 234 093;;molette;7030;7
1997 ;0,24 ;;;Incomplet;;;708;INDIVIDU;1,1;>3,5;;;3258;;8;758;875;>16;1;chevrons;non;;épaule;45 234 093;;molette;7071;7
1997 ;0,28 ;;;Incomplet;;;708;INDIVIDU;1,00;>2,2;;;3259;;8;758;875;>8;1;batons;non;;panse;45 234 093;;molette;7071;7
1997 ;;;;;;;708;INDIVIDU;;;;;3261;7071-1;8;758;875;;;;;oui;tenon, dessus de la lèvre;45 234 093;;incision, molette;7071;7
1997 ;;;;Incomplet;;;752;INDIVIDU;;;;;3290;;9.1;771;827;;;batons;non;;panses;45 234 093;;molette;7380;7
1997 ;0,37 ;;;Incomplet;;;712;INDIVIDU;0,8;>3,7;;;3326;;8;761;843;>8;1;chevrons;non;;épaule;45 234 093;;molette;7218;7
1997 ;0,00 ;;;Incomplet;;;421;INDIVIDU;? ;>3,5;;;3388;;8;482;758;>7;1;chevrons;non;;épaule;45 234 093;;molette;4115;4
1997 ;0,13 ;;;Incomplet;;;416418;INDIVIDU;>=1,2;>5;;;3397;;7.2;477;771;>9;>=5;losanges;non;;épaule;45 234 093;;molette;4058;4
1997 ;;;;;;;812;INDIVIDU;;;;;3693;;9.1;857;2729;;;;non;;panse;45 234 093;;apport de matière, molette losange;8103;8
1997 ;0,25 ;;;Incomplet;;;812;INDIVIDU;1,6;>3,4;;;3697;;9.1;857;2729;>11;2;chevrons et carrés;non;;épaule;45 234 093;;molette;8103;8
1997 ;0,21 ;2 registres;;Incomplet;;;812;INDIVIDU;1,3;>1,6;;;3698;;9.1;857;2729;>5;2;chevrons et carrés;non;;épaule;45 234 093;;molette;8103;8
1997 ;?;>=> F.40 Isaac Jogues 3557-2;;Complet;A23;;815;INDIVIDU;0,95;?;;oui;3761;8027-1;7.1;853;2608;?;6;losanges;;oui;épaule;45 234 093;;molette;8027;8
1997 ;?;= F.14 3041-2 Isaac Jogues;;Complet;L8;;818;INDIVIDU;0,6;?;;non ;3792;8094-1;7.2;854;2623;?;1;chevrons;;oui;épaule;45 234 093;;molette;8094;8
1997 ;0,07 ;;;Incomplet;C13;;818;INDIVIDU;0,7;>2,7;;non ;3793;8094-2;7.2;854;2623;>13;2;batons;;oui;épaule;45 234 093;;molette;8094;8
1997 ;0,07 ;;;Incomplet;;;818;INDIVIDU;0,8;>1,8;;;3799;;7.2;854;2623;>5;4;losanges;non;;épaule;45 234 093;;molette;8094;8
1997 ;0,09 ;;;Incomplet;;;818;INDIVIDU;0,7;>3,7;;;3800;;7.2;854;2623;>15;2;carrés;non;;épaule;45 234 093;;molette;8094;8
1997 ;;;;;;;842;INDIVIDU;;;;;3815;;9.1;860;2651;;;;non;;panse;45 234 093;;bandes rapportées molettées;8387;8
1997 ;0,08 ;;;Incomplet;;;837;INDIVIDU;>0,6;>2,00;;;3828;;7.2;855;2615;>4;>4;losanges;non;;épaule;45 234 093;;molette;8349;8
197071 ;0,18 ;recolle avec le vase 6 de Corbeilles. 2 registres.;;complet;;;1;INDIVIDU;0,90;6,10;;;3837;978;;;;15;2;triangles;;oui;panse;45 103 017;;molette;500;
197071 ;0,08 ;recolle avec le vase 3 de Corbeilles;;complet;;;1;INDIVIDU;0,65;4,20;;;3838;977;;;;12;3;losanges;;oui;épaule;45 103 017;;molette;500;
197071 ;0,13 ;collage avec le vase 4 de Corbeilles;;complet;A15;;1;INDIVIDU;1,10;5,00;;oui;3839;;;;;11;4;losanges;;oui;épaule;45 103 017;;molette;500;
197071 ;0,05 ;collage avec le vase 5 de Corbeilles;;complet;A10;;1;INDIVIDU;0,85;3,70;;oui;3840;;;;;12;5;losanges;;oui;épaule;45 103 017;;molette;500;
1978 ;0,00 ;Non dessinée;221;incomplet;IND;;;INDIVIDU;;;;non ;3841;1;;;;>8;>=2;indéterminé;;oui;épaule;45 302 01 ;;molette;R.deS.;
1978 ;1,93 ;;;complet;B1;;;INDIVIDU;1,10;7,00;;non ;3842;2;;;;4;1;oves;;oui;épaule;45 302 01;;molette;R.deS.;
1969 ;0,00 ;;129;incomplet;LIND;;;INDIVIDU;0,95;;;non ;3843;3;;;;>=12;2;chevrons;;oui;lèvre;45 302 01;;molette;1001;
